id,place_name,overview,price,activity_type,,,,,,,,,,,,,
1,Cool de Sac,"A two-story restaurant equipped with kid perks including a special kids menu, indoor playroom, PlayStation corner, mini football yard, Lego station, and a children’s gym.",40 SR,entertainment,,,,,,,,,,,,,
2,Jeddah's Museum,"Another great way to observe the beauty of the Red Sea coast is to visit Jeddah’s museums. After wandering around Jeddah’s alleys, discovering its magnificent areas, and enjoying the exclusive water activities, don’t miss out on your travel back in time in Jeddah. You’ll have a chance to witness the full glory of the past, present, and future of Jeddah.",50 SR,culture,,,,,,,,,,,,,
3,Tayebat Museum ,"Located in the Al Faisaliyah district, Tayebat Museum is almost like a city inside a larger city. For, it re-creates the traditional Hijazi architecture of the old city with 150 suites and 365 rooms in a true mixture of civilization and heritage. The indoor designs capture interesting times for Saudi heritage and gorgeous Islamic art. It took 15 years to collect the artworks, amazing antiques, and wonderful historical relics... You will get the best souvenirs inside the hallways of this museum.",50 SR,culture,,,,,,,,,,,,,
4,Jeddah Open Museum ,"the first open museum in the city, and one of the largest collections of sculptures and statues in the world. This 7-square-kilometer museum of 21 artworks is situated on the wonderful new Corniche that offers a variety of picnic options. It is a constantly changing art seen.  ",50 SR,culture,,,,,,,,,,,,,
5,Museum of Home Art,"Museum of Home Art was once a 5,000 square meters private residence. It holds a large assortment of antiques, luxurious and vintage home furniture, and another collection of rare pieces. This charming mixture of rare antique pieces and vintage furniture will with no doubt fill your photo album and perhaps even makes you revisit it. ",60 SR ,culture,,,,,,,,,,,,,
6,House of Jeddah and Our Good Days,"One of the ancient houses in Jeddah has been renovated to what is now called House of Jeddah and Our Good Days museum. It has wonderfully preserved all its belonging as if it was a time capsule for Al-Balad ‎area. Although it shares the same place and time period of Bait Nassif, yet it distinctly ‎preserved more of its social belongings. On your family tour, you can show your kids ‎the “gramophone” musical device, old canned food and coins, and the first versions ‎of the popular soft drink.‎‏ ‏",30 SR,culture,,,,,,,,,,,,,
7,Bait Nassif,"Bait Nassif, that once was resided by King Abdulaziz AlSaud in 1925AD, has been transformed into a museum and a cultural center for the Kingdom’s history. You can walk the same hallways that at times hosted many ambassadors and see pictures that capture many stories.  The museum is located in one of UNESCO's world heritage sites, Al-Balad area. ",20 SR,culture,,,,,,,,,,,,,
8,Historic Jeddah ,"Before naming it as the royal seaport for Makkah at 657 AD, the Al-Balad site, “Historic Jeddah”, was built on beautiful coastal land. It gathered people from all cultures and walks of life throughout the ages. This part of the world unveils a human heritage whose walls challenged different historical factors with eight gates; each is known for their historical stories. In addition, it holds more than 10 ancient houses praised for their distinctive designs and the names of their ancient families. Here, you will get the coziest photographs.",100 SR,culture,,,,,,,,,,,,,
9,Bait Matbouli,"The experience of walking around here resembles walking into a heritage museum, where every turn has an art ‎painting. This marvelous historic masterpiece dates back to 420 years ago. The building walls have been purposefully constructed to ‎reduce heat and retain a pleasant temperature.",40 SR,culture,,,,,,,,,,,,,
10,Bait Nour Wali,"The building is hard to miss with its unique green protruded delicately inscribed windows, a distinctive feature of Jeddah’s ancient architecture known as Rawashin. Another incredible architectural design feature is that it holds an efficient water system consisting of wall-build pipes that drain rainwater into a ground tank.",30 SR ,culture,,,,,,,,,,,,,
11,Beit Alsharbatly,"one of the most ancient and infamous houses of Historic Jeddah; Beit Alsharbatly. It remains since built in 1916AD by Sharif Abdullah Al-Abdali, steadfast with its bright white columns and distinctive wooden windows and balconies overlooking the prominent sites of the area. As time has passed on this beauty, each of its carefully picked tiles became an antiquity inscribed “Made in Al-Hijaz - Jeddah.”",30 SR,culture,,,,,,,,,,,,,
12,Bait Qabil,"Bait Qabil is placed in the heart of the special area and at the center of the historic events. Its ceilings were intentionally made tall which is an old mechanism used to allow air passage and purification inside the house. To testify for its incredible architectural design, many artistic mockups are made of its highly crafted Rawashins. The merchant Suliman Qabil was able to single-handedly turn the Qabil Street into one of the most prominent and advanced streets of Jeddah at the time. In fact, it was the first street to be supplied with electricity. Till today, this area is considered one of the most significant locations in Jeddah due to its history and heritage. This house and its surrounding area open their door to story-filled visits.  ",30 SR,culture,,,,,,,,,,,,,
13,Formula 1,Jeddah Corniche Circuit is breaking a new world record as the circuit with the most turns in history! And that is blasting the excitement of racers and fans. ,500 SR,entertainment,,,,,,,,,,,,,
14,ATHR gallery,"If you want to enjoy a unique artistic experience through which you can see the contemporary art scene in the region at the hands of the most prominent Saudi and international artists, then your first destination should definitely be ATHR Gallery located in Sairafi Mall complex. In your first visit, you will feel the artistic spirit reflected by the cultural dialogue between contemporary artists around the world, through a multifunctional art space.",150 SR,art,,,,,,,,,,,,,
15,Saudi Center for Fine Arts," Satisfy your artistic curiosity by participating in one of the courses that the Center offers and engage with the artists and leaders of the Center. The courses include abstract arts, and oil paint for adults, while watercolor, glass, copper or fabric paint is offered for children. There is also ceramic and porcelain designing, decoupage on canvas, charcoal and pastel paint. These courses are held regularly throughout the year, to suit visitors’ schedules.",150 SR,art,,,,,,,,,,,,,
16,Hafex Gallery ,"Located in the Northern suburb of AlRawda district, Hafez Gallery holds different works of well-known Saudi artists, and is definitely worth visiting. If you want to learn about the history of Saudi and Middle Eastern art, and see through it as it reflects the traditions of the Arab people, then head to Hafez Gallery. During your visit, do not forget to obtain one of the brochures that contain the most outstanding displayed pieces with descriptions of each one.",100 SR,art,,,,,,,,,,,,,
17,Dar Safeya Binzagr," The exhibition contains valuable heritage artifacts, some of which date back to more than a hundred years. Walk through its halls, you will see the most outstanding artistic details, such as clothing, tableware and furniture, the visitor will have a mental image of the nature of life in Old Jeddah.",100 SR,art,,,,,,,,,,,,,
18,Adham Arts Center," The center also offers its visitors a series of artistic programs and creative projects, as well as a series of workshops and courses about recycled art. If you like one of the artworks on display, simply head over to the Gift Center to make your purchase right away.",50 SR ,art,,,,,,,,,,,,,
19,Nesma Art Gallery ,"This gallery displays the works of the best abstract artists from Saudi Arabia and abroad, in addition to showing the works of the most talented photographers in various halls.",60 SR ,art ,,,,,,,,,,,,,
20,Kins Fahd's Fountain," King Fahd Fountain is a much-loved Jeddah landmark, and a 30-year-old monument in the middle of the Red Sea. At 312 meters high, its waters decorate the sunset of Jeddah, and whether you are thinking of taking a picture or a video of that magical scene, seeing the fountain will not seem impossible no matter how far away you are. As the spectacular display of the fountain continues, you can walk around and try different kinds of food along the various stalls in Alhamra Cornish. Seven is the most popular kiosk on the walkway.",30 SR,urban,,,,,,,,,,,,,
21,Fakieh Aquarium,"Located just off Al Kurnaysh Road on Jeddah’s north corniche, Fakieh Aquarium is the first marine exhibition of its kind in Saudi Arabia, and it’s no coincidence that it finds itself within earshot of the city’s lapping Red Sea.",80 SR ,entertainment,,,,,,,,,,,,,
22,Tayebat Museum ," Located in the Al Faisaliyah district, the museum is housed in a multiroom complex that re-creates the traditional Hijazi architecture of the old city, with bay windows overlaid with intricate wooden lattice work and ornate coral masonry.",40 SR ,heritage,,,,,,,,,,,,,
23,Jeddah Art Promenade,A quiet residential area by the sea within Jeddah’s waterfront which extends to the marina.,100 SR,urban,,,,,,,,,,,,,
